tariff_plan_code_from,tariff_plan_code_to,arpu_segment,sample_size,raw_mean_lift,raw_std_lift,median_lift,downsell_rate,flat_rate,upsell_rate,origin_segment_changes,destination_share_among_changers,segment_prior_mean,between_group_variance,posterior_mean_lift,posterior_std_lift,posterior_lower_95,posterior_upper_95,data_weight
tariff_10,tariff_8,MID,138,0.21811503,0.77450995,0.21997524,0.2826087,0.07246377,0.64492754,361,0.38227147,0.25725709,0.1628803,0.21913247,0.06506813,0.09159893,0.34666601,0.9740063
tariff_10,tariff_9,LOW,8,1.94056196,1.74702739,3.0,0.25,0.0,0.75,60,0.13333333,1.02082216,0.35500524,1.464141,0.42882522,0.62364356,2.30463844,0.48200463
tariff_10,tariff_9,MID,3,0.22563817,0.80717711,0.16738751,0.33333333,0.0,0.66666667,361,0.00831025,0.25725709,0.1628803,0.24370629,0.30508244,-0.35425529,0.84166788,0.42856629
tariff_11,tariff_1,HIGH,5,-0.30233831,0.30110943,-0.37969342,0.8,0.0,0.2,497,0.01006036,-0.12852526,0.0321792,-0.23969358,0.1076933,-0.45077245,-0.02861471,0.6395856
tariff_11,tariff_1,MID,6,-0.25737367,0.57024278,-0.41527331,0.66666667,0.0,0.33333333,252,0.02380952,0.25725709,0.1628803,-0.12888897,0.20165644,-0.52413561,0.26635766,0.75033616
tariff_11,tariff_10,HIGH,110,-0.05068883,0.42585451,-0.08645492,0.49090909,0.21818182,0.29090909,497,0.22132797,-0.12852526,0.0321792,-0.05448231,0.03960183,-0.13210191,0.02313728,0.95126339
tariff_11,tariff_10,LOW,14,-0.50834026,1.07607439,-0.99994752,0.85714286,0.0,0.14285714,69,0.20289855,1.02082216,0.35500524,-0.21939287,0.25900012,-0.7270331,0.28824736,0.81104205
tariff_11,tariff_10,MID,29,0.24602805,1.06982331,0.19616063,0.37931034,0.06896552,0.55172414,252,0.11507937,0.25725709,0.1628803,0.2482182,0.17823764,-0.10112757,0.59756397,0.80495705
tariff_11,tariff_12,HIGH,107,0.07746405,0.52719452,0.12055639,0.30841121,0.1682243,0.52336449,497,0.21529175,-0.12852526,0.0321792,0.06207846,0.04902554,-0.03401159,0.15816851,0.9253088
tariff_11,tariff_12,LOW,20,0.12989002,1.5000839,-0.75023189,0.6,0.05,0.35,69,0.28985507,1.02082216,0.35500524,0.34430126,0.29229329,-0.22859359,0.91719611,0.75934054
tariff_11,tariff_12,MID,62,0.10456091,0.98871255,0.15754841,0.41935484,0.06451613,0.51612903,252,0.24603175,0.25725709,0.1628803,0.11803751,0.11989754,-0.11696168,0.35303669,0.91174242
tariff_11,tariff_13,HIGH,20,-0.49789034,0.32499489,-0.53376613,0.85,0.15,0.0,497,0.04024145,-0.12852526,0.0321792,-0.44581791,0.06735404,-0.57783182,-0.313804,0.85902179
tariff_11,tariff_13,LOW,4,0.11279707,1.92932785,-0.77440586,0.75,0.0,0.25,69,0.05797101,1.02082216,0.35500524,0.77007679,0.50692484,-0.2234959,1.76364948,0.27614366
tariff_11,tariff_13,MID,7,-0.16974568,0.45991216,-0.13563862,0.71428571,0.0,0.28571429,252,0.02777778,0.25725709,0.1628803,-0.10292573,0.15965114,-0.41584196,0.2099905,0.84351401
tariff_11,tariff_21,LOW,1,3.0,,3.0,0.0,0.0,1.0,69,0.01449275,1.02082216,0.35500524,1.22903846,0.5636111,0.1243607,2.33371621,0.10520343
tariff_11,tariff_4,HIGH,42,-0.28048477,0.58906182,-0.37916987,0.76190476,0.0952381,0.14285714,497,0.08450704,-0.12852526,0.0321792,-0.24944068,0.08107989,-0.40835726,-0.0905241,0.79570816
tariff_11,tariff_4,LOW,10,0.07765069,1.70690207,-0.93964835,0.7,0.0,0.3,69,0.14492754,1.02082216,0.35500524,0.50279425,0.40002751,-0.28125967,1.28684817,0.54924044
tariff_11,tariff_4,MID,42,0.21633905,1.00634584,-7.772e-05,0.4047619,0.16666667,0.42857143,252,0.16666667,0.25725709,0.1628803,0.22161541,0.14492532,-0.0624382,0.50566903,0.87105042
tariff_11,tariff_8,HIGH,213,-0.16091179,0.4232168,-0.1413516,0.54460094,0.18779343,0.26760563,497,0.42857143,-0.12852526,0.0321792,-0.16008702,0.02862671,-0.21619538,-0.10397866,0.97453359
tariff_11,tariff_8,LOW,16,1.22166094,1.80731091,1.9193592,0.375,0.0,0.625,69,0.23188406,1.02082216,0.35500524,1.14833422,0.36001842,0.44269811,1.85397033,0.6348976
tariff_11,tariff_8,MID,103,0.23461678,0.82626146,0.22388153,0.31067961,0.0776699,0.61165049,252,0.40873016,0.25725709,0.1628803,0.23550207,0.07980634,0.07908165,0.39192249,0.96089735
tariff_11,tariff_9,LOW,4,2.08957565,1.82084871,3.0,0.25,0.0,0.75,69,0.05797101,1.02082216,0.35500524,1.34130549,0.49854897,0.36414952,2.31846147,0.29986647
tariff_11,tariff_9,MID,3,0.70785455,0.99492333,0.24466715,0.0,0.33333333,0.66666667,252,0.01190476,0.25725709,0.1628803,0.40617719,0.33022601,-0.24106578,1.05342017,0.33049476
tariff_12,tariff_1,HIGH,5,-0.68800929,0.37724588,-0.78781586,0.8,0.2,0.0,365,0.01369863,-0.12852526,0.0321792,-0.42541062,0.12289665,-0.66628805,-0.18453318,0.53064134
tariff_12,tariff_1,MID,2,-0.60718723,0.55552115,-0.60718723,1.0,0.0,0.0,144,0.01388889,0.25725709,0.1628803,-0.18665484,0.28149164,-0.73837845,0.36506876,0.51352288
tariff_12,tariff_10,HIGH,85,-0.00889731,0.46876763,0.04200197,0.4,0.15294118,0.44705882,365,0.23287671,-0.12852526,0.0321792,-0.01779329,0.04891796,-0.11367249,0.07808591,0.92563623
tariff_12,tariff_10,LOW,8,-0.76912166,0.65302256,-1.0,0.875,0.0,0.125,34,0.23529412,1.02082216,0.35500524,-0.5354448,0.21528092,-0.9573954,-0.1134942,0.86945017
tariff_12,tariff_10,MID,22,0.26179729,0.98804839,0.2449095,0.40909091,0.0,0.59090909,144,0.15277778,0.25725709,0.1628803,0.2608252,0.18674493,-0.10519486,0.62684527,0.78589388
tariff_12,tariff_11,HIGH,82,0.05137449,0.5285964,0.02492292,0.40243902,0.15853659,0.43902439,365,0.22465753,-0.12852526,0.0321792,0.03414876,0.05550871,-0.0746483,0.14294583,0.9042482
tariff_12,tariff_11,LOW,6,1.12576293,2.07152983,1.37728878,0.5,0.0,0.5,34,0.17647059,1.02082216,0.35500524,1.0556326,0.48707765,0.10096041,2.01030479,0.33171512
tariff_12,tariff_11,MID,22,-0.24723963,0.81388545,-0.51654409,0.59090909,0.04545455,0.36363636,144,0.15277778,0.25725709,0.1628803,-0.16853001,0.15941127,-0.48097609,0.14391608,0.84398388
tariff_12,tariff_13,HIGH,9,-0.36254199,0.39067817,-0.52962558,0.66666667,0.22222222,0.11111111,365,0.02465753,-0.12852526,0.0321792,-0.28177666,0.10538448,-0.48833024,-0.07522308,0.65487369
tariff_12,tariff_13,LOW,3,0.43790968,2.2243733,-0.68627095,0.66666667,0.0,0.33333333,34,0.08823529,1.02082216,0.35500524,0.91757483,0.54048642,-0.14177856,1.97692821,0.17712321
tariff_12,tariff_13,MID,9,-0.07471116,0.61291696,-0.26949565,0.55555556,0.0,0.44444444,144,0.0625,0.25725709,0.1628803,-0.00699272,0.18228018,-0.36426188,0.35027643,0.79600931
tariff_12,tariff_4,HIGH,15,-0.2628285,0.3079211,-0.20116073,0.6,0.4,0.0,365,0.04109589,-0.12852526,0.0321792,-0.24077839,0.07268584,-0.38324263,-0.09831415,0.83581845
tariff_12,tariff_4,LOW,10,-0.7503864,0.6817559,-1.0,0.9,0.0,0.1,34,0.29411765,1.02082216,0.35500524,-0.54533682,0.20272718,-0.94268209,-0.14799155,0.88423183
tariff_12,tariff_4,MID,10,0.1144399,1.08420261,-0.31239252,0.6,0.0,0.4,144,0.06944444,0.25725709,0.1628803,0.17430548,0.26129592,-0.33783452,0.68644548,0.58082374
tariff_12,tariff_8,HIGH,168,-0.09479834,0.40377737,-0.11556764,0.51785714,0.2202381,0.26190476,365,0.46027397,-0.12852526,0.0321792,-0.09578569,0.03069273,-0.15594343,-0.03562795,0.97072508
tariff_12,tariff_8,LOW,6,1.65490624,1.89575538,2.75195774,0.33333333,0.0,0.66666667,34,0.17647059,1.02082216,0.35500524,1.25678266,0.47212055,0.33142638,2.18213894,0.3721281
tariff_12,tariff_8,MID,78,0.51241447,0.93853186,0.3353336,0.20512821,0.07692308,0.71794872,144,0.54166667,0.25725709,0.1628803,0.49587086,0.10276504,0.29445138,0.69729034,0.9351631
tariff_12,tariff_9,HIGH,1,-0.17920097,,-0.17920097,1.0,0.0,0.0,365,0.00273973,-0.12852526,0.0321792,-0.13462943,0.16823508,-0.46437018,0.19511132,0.12045543
tariff_12,tariff_9,LOW,1,-1.0,,-1.0,1.0,0.0,0.0,34,0.02941176,1.02082216,0.35500524,0.80822473,0.5636111,-0.29645302,1.91290249,0.10520343
tariff_12,tariff_9,MID,1,1.36245189,,1.36245189,0.0,0.0,1.0,144,0.00694444,0.25725709,0.1628803,0.41964186,0.372758,-0.31096381,1.15024753,0.14692864
tariff_13,tariff_1,HIGH,7,-0.27846712,0.81260659,-0.25250504,0.57142857,0.28571429,0.14285714,86,0.08139535,-0.12852526,0.0321792,-0.16666401,0.15490061,-0.4702692,0.13694117,0.25435694
tariff_13,tariff_1,LOW,3,1.10880353,1.93805406,1.19934499,0.33333333,0.0,0.66666667,43,0.06976744,1.02082216,0.35500524,1.040258,0.52591019,0.00947403,2.07104197,0.22090861
tariff_13,tariff_1,MID,41,-0.50264699,0.64007308,-0.82189932,0.82926829,0.02439024,0.14634146,418,0.09808612,0.25725709,0.1628803,-0.45872244,0.09703056,-0.64890235,-0.26854254,0.94219725
tariff_13,tariff_10,HIGH,9,0.09381209,0.49550373,-0.02425059,0.44444444,0.22222222,0.33333333,86,0.10465116,-0.12852526,0.0321792,-0.00819762,0.12150724,-0.24635182,0.22995657,0.54119401
tariff_13,tariff_10,LOW,2,3.0,0.0,3.0,0.0,0.0,1.0,43,0.04651163,1.02082216,0.35500524,2.99999999,3.162e-05,2.99993801,3.00006198,1.0
tariff_13,tariff_10,MID,28,0.53068298,1.01577455,0.64037142,0.21428571,0.10714286,0.67857143,418,0.06698565,0.25725709,0.1628803,0.48023631,0.17335273,0.14046495,0.82000767,0.81550151
tariff_13,tariff_11,HIGH,6,-0.3285483,0.67671018,-0.48164667,0.66666667,0.0,0.33333333,86,0.06976744,-0.12852526,0.0321792,-0.18784751,0.15045128,-0.48273202,0.10703699,0.29657709
tariff_13,tariff_11,LOW,1,1.50048133,,1.50048133,0.0,0.0,1.0,43,0.02325581,1.02082216,0.35500524,1.07128395,0.5636111,-0.03339381,2.1759617,0.10520343
tariff_13,tariff_11,MID,9,0.3315054,0.66918613,0.48764545,0.22222222,0.11111111,0.66666667,418,0.0215311,0.25725709,0.1628803,0.31413143,0.19522731,-0.06851409,0.69677695,0.76600178
tariff_13,tariff_12,HIGH,9,-0.13435467,0.44483472,0.01476045,0.33333333,0.44444444,0.22222222,86,0.10465116,-0.12852526,0.0321792,-0.13198845,0.11428865,-0.35599422,0.09201731,0.59408884
tariff_13,tariff_12,MID,3,-0.47648097,0.78017835,-0.86388438,0.66666667,0.0,0.33333333,418,0.00717703,0.25725709,0.1628803,-0.0694796,0.30058112,-0.65861859,0.51965939,0.44530427
tariff_13,tariff_21,LOW,2,-0.48986143,0.72144488,-0.48986143,0.5,0.5,0.0,43,0.04651163,1.02082216,0.35500524,0.1491382,0.38750823,-0.61037793,0.90865433,0.57701293
tariff_13,tariff_21,MID,2,0.91099678,0.01176611,0.91099678,0.0,0.0,1.0,418,0.00478469,0.25725709,0.1628803,0.91071907,0.00831813,0.89441554,0.92702261,0.9995752
tariff_13,tariff_4,HIGH,22,-0.1309912,0.32973824,-0.20711147,0.63636364,0.18181818,0.18181818,86,0.25581395,-0.12852526,0.0321792,-0.1306629,0.06545363,-0.258952,-0.00237379,0.86686502
tariff_13,tariff_4,LOW,7,0.05152107,1.43264517,-0.25578075,0.57142857,0.14285714,0.28571429,43,0.1627907,1.02082216,0.35500524,0.48996948,0.40072578,-0.29545305,1.275392,0.54766542
tariff_13,tariff_4,MID,73,0.20749986,0.68246706,0.22321467,0.2739726,0.15068493,0.57534247,418,0.17464115,0.25725709,0.1628803,0.20937546,0.07835679,0.05579616,0.36295477,0.96230492
tariff_13,tariff_8,HIGH,33,0.0636477,0.67132295,-0.07330873,0.42424242,0.27272727,0.3030303,86,0.38372093,-0.12852526,0.0321792,0.00638991,0.09791715,-0.18552771,0.19830753,0.70205074
tariff_13,tariff_8,LOW,20,1.23411535,1.61134812,1.18090565,0.3,0.1,0.6,43,0.46511628,1.02082216,0.35500524,1.17700187,0.30831751,0.57269955,1.78130419,0.73223018
tariff_13,tariff_8,MID,234,0.45911711,0.97226801,0.40547277,0.28205128,0.07692308,0.64102564,418,0.55980861,0.25725709,0.1628803,0.45423174,0.06278531,0.33117252,0.57729095,0.9757982
tariff_13,tariff_9,LOW,8,1.53640782,2.02194803,3.0,0.375,0.0,0.625,43,0.18604651,1.02082216,0.35500524,1.23217004,0.45769222,0.33509328,2.1292468,0.40991808
tariff_13,tariff_9,MID,28,0.42558272,0.77632727,0.36422755,0.14285714,0.14285714,0.71428571,418,0.06698565,0.25725709,0.1628803,0.4059351,0.13788406,0.13568233,0.67618787,0.88327616
tariff_14,tariff_1,HIGH,4,-0.5894525,0.45771445,-0.62126106,1.0,0.0,0.0,69,0.05797101,-0.12852526,0.0321792,-0.30394126,0.14118321,-0.58066035,-0.02722218,0.380572
tariff_14,tariff_1,LOW,2,3.0,0.0,3.0,0.0,0.0,1.0,53,0.03773585,1.02082216,0.35500524,2.99999999,3.162e-05,2.99993801,3.00006198,1.0
tariff_14,tariff_1,MID,8,-0.51890856,0.47217715,-0.54982451,0.875,0.0,0.125,118,0.06779661,0.25725709,0.1628803,-0.40550893,0.1542634,-0.70786519,-0.10315268,0.85389765
tariff_14,tariff_10,HIGH,11,-0.31563957,0.55333712,-0.23425435,0.63636364,0.09090909,0.27272727,69,0.15942029,-0.12852526,0.0321792,-0.22885512,0.12216733,-0.46830309,0.01059284,0.53619557
tariff_14,tariff_10,LOW,4,0.06973211,1.95793207,-0.86053578,0.75,0.0,0.25,53,0.0754717,1.02082216,0.35500524,0.76374346,0.50896726,-0.23383238,1.7613193,0.27029901
tariff_14,tariff_10,MID,17,0.0260726,1.11314376,-0.22461066,0.58823529,0.05882353,0.35294118,118,0.1440678,0.25725709,0.1628803,0.09754323,0.22439788,-0.34227661,0.53736307,0.69085023
tariff_14,tariff_11,HIGH,4,-0.11611402,0.5761303,-0.23109064,0.5,0.25,0.25,69,0.05797101,-0.12852526,0.0321792,-0.12505721,0.15227413,-0.42351451,0.17340009,0.27942859
tariff_14,tariff_11,LOW,1,-1.0,,-1.0,1.0,0.0,0.0,53,0.01886792,1.02082216,0.35500524,0.80822473,0.5636111,-0.29645302,1.91290249,0.10520343
tariff_14,tariff_11,MID,3,-0.4665758,0.92391782,-1.0,0.66666667,0.0,0.33333333,118,0.02542373,0.25725709,0.1628803,-0.00624851,0.32184628,-0.63706721,0.62457019,0.36404204
tariff_14,tariff_12,HIGH,2,-0.49118516,0.71957285,-0.49118516,0.5,0.5,0.0,69,0.02898551,-0.12852526,0.0321792,-0.16861884,0.16917936,-0.50021038,0.16297271,0.11055419
tariff_14,tariff_12,LOW,4,0.02914961,1.98132912,-0.94170078,0.75,0.0,0.25,53,0.0754717,1.02082216,0.35500524,0.75739558,0.51058997,-0.24336077,1.75815192,0.26563868
tariff_14,tariff_12,MID,6,-0.98767712,0.01938638,-1.0,1.0,0.0,0.0,118,0.05084746,0.25725709,0.1628803,-0.98719855,0.00791294,-1.0027079,-0.97168919,0.99961558
tariff_14,tariff_13,HIGH,4,-0.52190581,0.34502398,-0.41961113,1.0,0.0,0.0,69,0.05797101,-0.12852526,0.0321792,-0.33289652,0.12434341,-0.5766096,-0.08918345,0.51952558
tariff_14,tariff_13,LOW,3,0.8048228,2.0283694,0.4144684,0.33333333,0.0,0.66666667,53,0.05660377,1.02082216,0.35500524,0.97640635,0.53104213,-0.06443622,2.01724892,0.20562935
tariff_14,tariff_13,MID,9,0.14085647,1.19377523,-0.35300098,0.55555556,0.11111111,0.33333333,118,0.07627119,0.25725709,0.1628803,0.19823495,0.28335517,-0.35714119,0.75361109,0.50706038
tariff_14,tariff_21,LOW,3,1.14349656,1.87398618,1.87679579,0.33333333,0.0,0.66666667,53,0.05660377,1.02082216,0.35500524,1.04936809,0.52191635,0.02641204,2.07232414,0.23269674
tariff_14,tariff_21,MID,1,-1.0,,-1.0,1.0,0.0,0.0,118,0.00847458,0.25725709,0.1628803,0.07253003,0.372758,-0.65807565,0.8031357,0.14692864
tariff_14,tariff_4,HIGH,9,-0.30536388,0.32101394,-0.40057294,0.66666667,0.22222222,0.11111111,69,0.13043478,-0.12852526,0.0321792,-0.25895457,0.09189707,-0.43907282,-0.07883631,0.73756118
tariff_14,tariff_4,LOW,6,1.27375507,1.89523345,1.8212652,0.33333333,0.0,0.66666667,53,0.11320755,1.02082216,0.35500524,1.11497815,0.47207217,0.1897167,2.0402396,0.37225678
tariff_14,tariff_4,MID,25,-0.03408918,0.63140544,-0.01577602,0.44,0.12,0.44,118,0.21186441,0.25725709,0.1628803,-0.00810838,0.12051908,-0.24432577,0.22810901,0.91082502
tariff_14,tariff_8,HIGH,35,-0.07902046,0.40657016,-0.10172068,0.51428571,0.14285714,0.34285714,69,0.50724638,-0.12852526,0.0321792,-0.08535624,0.06417471,-0.21113867,0.0404262,0.8720169
tariff_14,tariff_8,LOW,9,1.67592593,1.98625679,3.0,0.33333333,0.0,0.66666667,53,0.16981132,1.02082216,0.35500524,1.31396085,0.44288979,0.44589687,2.18202484,0.4474691
tariff_14,tariff_8,MID,42,-0.08540354,0.94426844,-0.16950121,0.52380952,0.07142857,0.4047619,118,0.3559322,0.25725709,0.1628803,-0.04589156,0.13704606,-0.31450184,0.22271871,0.88469065
tariff_14,tariff_9,LOW,21,1.2237536,1.63957114,1.58585313,0.28571429,0.0,0.71428571,53,0.39622642,1.02082216,0.35500524,1.1699724,0.30673119,0.56877928,1.77116553,0.7349785
tariff_14,tariff_9,MID,7,0.89745737,1.26790809,0.72877483,0.14285714,0.14285714,0.71428571,118,0.05932203,0.25725709,0.1628803,0.522904,0.30869757,-0.08214323,1.12795124,0.41494345
tariff_15,tariff_1,HIGH,3,0.03765559,0.9328048,0.30632753,0.33333333,0.0,0.66666667,77,0.03896104,-0.12852526,0.0321792,-0.11192929,0.17019272,-0.44550703,0.22164844,0.09986693
tariff_15,tariff_1,LOW,4,0.66138037,1.61557157,0.13334619,0.5,0.0,0.5,78,0.05128205,1.02082216,0.35500524,0.89417125,0.4794972,-0.04564327,1.83398577,0.35235444
tariff_15,tariff_1,MID,54,-0.43441145,0.51214935,-0.56583809,0.7962963,0.03703704,0.16666667,1312,0.04115854,0.25725709,0.1628803,-0.41438209,0.06867818,-0.54899132,-0.27977287,0.97104198
tariff_15,tariff_10,HIGH,9,0.15111764,0.40355391,0.22040293,0.33333333,0.0,0.66666667,77,0.11688312,-0.12852526,0.0321792,0.05046654,0.10762049,-0.16046963,0.26140271,0.64007277
