selection_order,candidate_id,campaign_name,filter_current_tariff,filter_arpu_segment,filter_data_segment,filter_call_segment,target_tariff,channel,audience_size,modeled_contacts,modeled_arpu,cost_per_contact,campaign_cost,channel_multiplier,prior_available,sample_size,posterior_mean_lift,posterior_std_lift,prior_gross_value_proxy,prior_net_value_proxy,uncertainty_value_proxy,lower_net_value_proxy,upper_net_value_proxy,priority_score,selection_reason
18,tariff_10__LOW__tariff_13__call,tariff_10_LOW_to_tariff_13_call,tariff_10,LOW,,,tariff_13,call,370,370,972233.56822579,160.0,59200.0,1.2,True,2.0,1.27131082,0.51312256,1483213.26582318,1424013.26582318,598649.97293514,825363.29288804,2022663.23875832,1543743.26041021,expected_value
19,tariff_11__LOW__tariff_8__call,tariff_11_LOW_to_tariff_8_call,tariff_11,LOW,,,tariff_8,call,387,387,1067637.79615389,160.0,61920.0,1.2,True,16.0,1.14833422,0.36001842,1471206.01906668,1409286.01906668,461243.12700433,948042.89206235,1870529.146071,1501534.64446754,expected_value
20,tariff_10__MID__tariff_11__digital_ads,tariff_10_MID_to_tariff_11_digital_ads,tariff_10,MID,,,tariff_11,digital_ads,645,645,3003700.14727491,22.0,14190.0,0.85,True,86.0,0.40404388,0.10245876,1031582.6625823,1017392.6625823,261592.08362636,755800.57895593,1278984.74620866,1069711.07930757,expected_value
21,tariff_12__LOW__tariff_11__digital_ads,tariff_12_LOW_to_tariff_11_digital_ads,tariff_12,LOW,,,tariff_11,digital_ads,363,363,1017502.05435121,22.0,7986.0,0.85,True,6.0,1.0556326,0.48707765,912992.08826909,905006.08826909,421262.13307802,483743.95519106,1326268.22134711,989258.51488469,expected_value
22,tariff_12__HIGH__tariff_11__digital_ads,tariff_12_HIGH_to_tariff_11_digital_ads,tariff_12,HIGH,,,tariff_11,digital_ads,567,567,5244797.05187884,22.0,12474.0,0.85,True,82.0,0.03414876,0.05550871,152237.81840732,139763.81840732,247462.13077736,-107698.31237004,387225.94918468,189256.24456279,expected_value
23,tariff_17__HIGH__tariff_10__sms,tariff_17_HIGH_to_tariff_10_sms,tariff_17,HIGH,,,tariff_10,sms,27,27,233018.89904674,4.0,108.0,0.65,True,14.0,0.13601537,0.07634045,20601.19865104,20493.19865104,11562.69894763,8930.49970342,32055.89759867,22805.73844057,expected_value
24,tariff_1__HIGH__tariff_12__sms,tariff_1_HIGH_to_tariff_12_sms,tariff_1,HIGH,,,tariff_12,sms,11,11,82638.48170901,4.0,44.0,0.65,True,2.0,0.35589554,0.05685413,19116.9335972,19072.9335972,3053.92033836,16019.01325884,22126.85393555,19683.71766487,expected_value
25,tariff_8__HIGH__tariff_21__digital_ads,tariff_8_HIGH_to_tariff_21_digital_ads,tariff_8,HIGH,,,tariff_21,digital_ads,4726,4545,35588629.726038,22.0,99990.0,0.85,True,1.0,-0.13828479,0.16823508,-4183161.25984498,-4283151.25984498,5089167.57369282,-9372318.83353781,806016.31384784,-3265317.74510642,uncertainty
26,tariff_4__HIGH__tariff_12__digital_ads,tariff_4_HIGH_to_tariff_12_digital_ads,tariff_4,HIGH,,,tariff_12,digital_ads,2108,2108,15794121.77170824,22.0,46376.0,0.85,True,19.0,-0.03876628,0.10369292,-520437.44491272,-566813.44491272,1392077.8145424,-1958891.25945512,825264.36962968,-288397.88200424,uncertainty
27,tariff_14__MID__tariff_21__call,tariff_14_MID_to_tariff_21_call,tariff_14,MID,,,tariff_21,call,755,625,3013508.04580725,160.0,100000.0,1.2,True,1.0,0.07253003,0.372758,262283.79476117,162283.79476117,1347971.07856682,-1185687.28380565,1510254.87332799,431878.01047453,uncertainty
28,tariff_14__MID__tariff_11__call,tariff_14_MID_to_tariff_11_call,tariff_14,MID,,,tariff_11,call,755,625,3013508.04580725,160.0,100000.0,1.2,True,3.0,-0.00624851,0.32184628,-22595.92219117,-122595.92219117,1163863.62515176,-1286459.54734293,1041267.70296059,110176.80283918,uncertainty
29,tariff_14__HIGH__tariff_12__push,tariff_14_HIGH_to_tariff_12_push,tariff_14,HIGH,,,tariff_12,push,963,963,7609558.49253434,0.0,0.0,0.5,True,2.0,-0.16861884,0.16917936,-641557.46296164,-641557.46296164,643690.11782476,-1285247.58078641,2132.65486312,-512819.43939669,uncertainty
30,tariff_12__HIGH__tariff_9__sms,tariff_12_HIGH_to_tariff_9_sms,tariff_12,HIGH,,,tariff_9,sms,567,567,5244797.05187884,4.0,2268.0,0.65,True,1.0,-0.13462943,0.16823508,-458967.62441408,-461235.62441408,573533.25354429,-1034768.87795837,112297.62913021,-346528.97370523,uncertainty
31,tariff_12__LOW__tariff_13__sms,tariff_12_LOW_to_tariff_13_sms,tariff_12,LOW,,,tariff_13,sms,363,363,1017502.05435121,4.0,1452.0,0.65,True,3.0,0.91757483,0.54048642,606862.27845487,605410.27845487,357464.9277543,247945.35070057,962875.20620918,676903.26400573,uncertainty
32,tariff_10__LOW__tariff_1__sms,tariff_10_LOW_to_tariff_1_sms,tariff_10,LOW,,,tariff_1,sms,370,370,972233.56822579,4.0,1480.0,0.65,True,1.0,0.82258101,0.5636111,519831.5658296,518351.5658296,356175.06004903,162176.50578057,874526.62587862,589586.5778394,uncertainty
